fund,account,subaccount,long_account,vendor,invoice,line_item_desc,check,date,amount
1000,15,15100-513030-00000000-,1000-15-15100-513030-00000000-,A-1 GLASS & AUTO LLC,I004928,COM TX 071822/I004928,77476,2022-07-19,20.00
1000,15,15100-513030-00000000-,1000-15-15100-513030-00000000-,A-1 GLASS & AUTO LLC,I004928,COM TX 071822/I004928,77476,2022-07-19,145.00
1000,15,15100-513030-00000000-,1000-15-15100-513030-00000000-,A-1 GLASS & AUTO LLC,I004928,COM TX 071822/I004928,77476,2022-07-19,150.00
1000,15,15100-513030-00000000-,1000-15-15100-513030-00000000-,A-1 GLASS & AUTO LLC,I004928,COM TX 071822/I004928,77476,2022-07-19,400.00
1000,15,15100-513030-00000000-,1000-15-15100-513030-00000000-,A-1 GLASS & AUTO LLC,I004979B,WINSHIELD REPLACEMENT AND MATERIALS,PCard,2022-07-28,235.00
1000,42,42200-515310-00000000-,1000-42-42200-515310-00000000-,"ACUITY SPECIALTY PRODUCTS, INC.",9007284545,ZEP SOAPS AND SHAMPOO FOR STATIONS,77702,2022-07-27,1897.89
1000,00,00000-231402-00000000-,1000-00-00000-231402-00000000-,ADMINISTRATIVE OFFICE OF COURTS,JUNE 2022 MONTHLY,JUNE 2022 MONTHLY REPORT,77795,2022-07-28,13838.66
1000,00,00000-210290-00000000-,1000-00-00000-210290-00000000-,AFLAC,841358,PPE 6/26/22 CANCER & OFF-THE-JOB ACCIDENT PREMIUM,77569,2022-07-26,1623.17
1000,00,00000-210300-00000000-,1000-00-00000-210300-00000000-,AFLAC,841358,PPE 6/26/22 CANCER & OFF-THE-JOB ACCIDENT PREMIUM,77569,2022-07-26,1122.62
1000,00,00000-210180-00000000-,1000-00-00000-210180-00000000-,ALABAMA CHILD SUPPORT PAYMENT CENTER,274049,Payroll Run 1 - Warrant 220724,77812,2022-07-29,22862.21
1000,00,00000-231404-00000000-,1000-00-00000-231404-00000000-,ALABAMA CRIME VICTIMS COMPENSATION COMMISSION,JUNE 2022,JUNE 2022 MONTHLY REPORT,PCard,2022-07-28,1330.00
1000,00,00000-231405-00000000-,1000-00-00000-231405-00000000-,ALABAMA CRIME VICTIMS COMPENSATION COMMISSION,JUNE 2022,JUNE 2022 MONTHLY REPORT,PCard,2022-07-28,2398.00
1000,15,15100-515340-00000000-,1000-15-15100-515340-00000000-,ALABAMA DEPARTMENT OF REVENUE,MUTAG# 022382,MU TAG EQUIPMENT# 022382,77348,2022-07-18,24.25
1000,15,15100-515340-00000000-,1000-15-15100-515340-00000000-,ALABAMA DEPARTMENT OF REVENUE,MUTAG# 030688,MU TAG FOR EQUIPMENT# 030688,77572,2022-07-21,24.25
1000,15,15100-515340-00000000-,1000-15-15100-515340-00000000-,ALABAMA DEPARTMENT OF REVENUE,MUTAG# 080418,MU TAG TRANS-EQUIPMENT# 080418,77573,2022-07-21,1.25
1000,15,15100-515340-00000000-,1000-15-15100-515340-00000000-,ALABAMA DEPARTMENT OF REVENUE,MUTAG# 030689,MU TAG-EQUIPMENT# 030689,77574,2022-07-21,24.25
1000,15,15100-515340-00000000-,1000-15-15100-515340-00000000-,ALABAMA DEPARTMENT OF REVENUE,MUTAG# 022363,MU TAG FOR EQUIPMENT# 022363,77575,2022-07-25,24.25
1000,15,15100-515340-00000000-,1000-15-15100-515340-00000000-,ALABAMA DEPARTMENT OF REVENUE,MUTAG# 030690,MU TAG FOR EQUIPMENT# 030690,77704,2022-07-26,24.25
1000,00,00000-210180-00000000-,1000-00-00000-210180-00000000-,ALABAMA DEPARTMENT OF REVENUE,274051,Payroll Run 1 - Warrant 220724,77813,2022-07-29,899.11
1000,52,52700-515790-00000000-,1000-52-52700-515790-00000000-,ALABAMA DEPTARTMENT OF AGRICULTURE,PERMIT# R.OSBORNE,APPLICATION FOR 1ST PERMIT-OTPC-R.OSBORNE,77479,2022-07-19,45.00
